"Study.Sample.ID"	"Study.Name"	"LIDE.Sample.ID"	"Site.Name"	"Sample.Combining.needed."	"USGS_ID"	"SSdate"	"SEdate"	"Collection.Start.Date"	"Sample.Type"	"Event.Type"	"Adenovirus.C.D.F"	"Adenovirus.A"	"Adenovirus.B"	"Enterovirus"	"G1.Norovirus"	"G2.Norovirus"	"HAV"	"Rotavirus"	"Campylobacter"	"Salmonella"	"EHEC"	"Cryptosporidium"	"BVDV1"	"BVDV2"	"Rotavirus.a"	"Rotavirus.c"	"Bovine.Enterovirus"	"Coronavirus"	"Bovine.Adenovirus"	"Bovine.Polyomavirus"	"Mycobacterium.Avium"	"Mycobacterium.Avium.paratuber"	"pdate"	"nmonth"	"ddate"	"Human_virus"	"Bacteria"	"Protozoa"	"Bovine_virus"	"Human"	"All_pathogens"	"cmonth"	"Rotavirus.a_occur"	"Bovine.Polyomavirus_occur"	"Adenovirus.C.D.F_occur"	"Adenovirus.A_occur"	"Enterovirus_occur"	"Abb2"	"Ddate"	"SEpdate"	"FT."	"Site.Code"	"Abb."	"Sample.Date"	"Event"	"Enterococci.CFU.100ml"	"E..coli.CFU.100ml"	"BacHuman.CN.100ml"	"RERUN.BacHuman.CN.100ml"	"BacSp.CN.100ml"	"Ratio.Human.Sp"	"Entero.CN.100ml"	"Lachno.2.CN.100ml"	"RERUN.Lachno.2.CN.100ml"	"Ruminant.CN.100ml"	"Cow.CN.100ml"	"lachno"	"lachnocen"	"BacHuman"	"BacHumancen"	"Abb2.1"	"GLWI.Site.Name"	"Sample.Date.1"	"GLWI.Study.Sample.ID"	"USGS_ID.1"	"X"	"Sample.Start.date.2"	"Sample.End.date.2"	"X.1"	"USGS.Sample.Type.2"	"USGS.Event.Type"	"USGS.Event.Type.2"	"GLWI.Event"	"Ebpdate"	"Eepdate"	"DO_mean"	"DO_max"	"DO_min"	"DO_median"	"Q_mean"	"Q_max"	"Q_min"	"Q_median"	"SC_mean"	"SC_max"	"SC_min"	"SC_median"	"TURB_mean"	"TURB_max"	"TURB_min"	"TURB_median"	"WTEMP_mean"	"WTEMP_max"	"WTEMP_min"	"WTEMP_median"	"Ebddate"	"AntBase"
"MF 001"	"Milw Corridor Study USGS"	"33293 - 33294"	"Meno Falls"	FALSE	"MF 001"	"4/6/2009 9:34"	"4/7/2009 11:00"	"6-Apr-09"	"Baseflow"	"Baseflow"	15.86	21.84	0	39.61	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"4/6/2009"	3	"0009-04-06"	77.31	NA	NA	NA	NA	NA	"Apr"	NA	NA	1	1	1	"MF"	"4/6/2009"	"4/7/2009 11:00"	6508	"USGSMF001"	"MF"	"10-Apr-09"	"Baseflow"	"32"	12	"678"	""	"67940"	0	"23622"	"2155"	""	NA	NA	"2155"	2155	"678"	678	"MF"	"Meno Falls"	"10-Apr-09"	"MF 001"	"MF 001"	""	"4/6/2009 9:34"	"4/7/2009 11:00"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	"2009-04-06 09:34:00"	"2009-04-07 11:00:00"	13.1035714285714	15.4	11.6	12.45	41.0701611764706	44.78308	37.89247	41.09997	1005.7	1020	997	1000	7.47821428571429	22	4.6	7	5.27535714285714	6.6	3.5	5.5	"2009-04-06"	37.8
"MF 002"	"Milw Corridor Study USGS"	"33306 - 33307"	"Meno Falls"	FALSE	"MF 002"	"4/20/2009 10:28"	"4/21/2009 18:19"	"20-Apr-09"	"Event"	"Rainfall "	0.38	3.47	0	0.76	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"4/20/2009"	3	"0009-04-20"	4.61	NA	NA	NA	NA	NA	"Apr"	NA	NA	1	1	1	"MF"	"4/20/2009"	"4/21/2009 18:19"	6519	"USGSMF002"	"MF"	"24-Apr-09"	"Rain"	"40"	120	"1449"	""	"105839"	0	"4281"	"1300"	""	NA	NA	"1300"	1300	"1449"	1449	"MF"	"Meno Falls"	"24-Apr-09"	"MF 002"	"MF 002"	""	"4/20/2009 10:28"	"4/21/2009 18:19"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	"2009-04-20 10:28:00"	"2009-04-21 18:19:00"	11.7098930481283	12.7	11	11.6	85.2128094764398	88.76763	82.62384	83.97243	1091.36363636364	1120	1060	1100	6.59732620320856	13	3.7	7.1	7.79732620320856	9	6.5	7.7	"2009-04-20"	19.62
"MF 003"	"Milw Corridor Study USGS"	"33393 - 33394"	"Meno Falls"	FALSE	"MF 003"	"6/15/2009 20:38"	"6/16/2009 13:42"	"15-Jun-09"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"6/15/2009"	5	"0009-06-15"	0	NA	NA	NA	NA	NA	"Jun"	NA	NA	0	0	0	"MF"	"6/15/2009"	"6/16/2009 13:42"	7005	"USGSMF003"	"MF"	"15-Jun-09"	"Baseflow"	"290"	170	"BLD"	"143"	"179241"	NA	"4503"	"BLD"	"259"	NA	NA	"259"	259	"143"	143	"MF"	"Meno Falls"	"15-Jun-09"	"MF 003"	"MF 003"	""	"6/15/2009 20:38"	"6/16/2009 13:42"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	"2009-06-15 20:38:00"	"2009-06-16 13:42:00"	9.62146341463415	10.8	9	9.3	12.3560076470588	12.95456	11.37233	12.41152	987.141463414634	1000	976	988	10.9696078431373	25	9.2	11	19.3839024390244	20.9	18.6	19.3	"2009-06-15"	11.85
"MF 005"	"Milw Corridor Study USGS"	"33417 - 33418"	"Meno Falls"	FALSE	"MF 005"	"7/22/2009 8:44"	"7/23/2009 6:12"	"22-Jul-09"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"7/22/2009"	6	"0009-07-22"	0	NA	NA	NA	NA	NA	"Jul"	NA	NA	0	0	0	"MF"	"7/22/2009"	"7/23/2009 6:12"	7413	"USGSMF005"	"MF"	"24-Jul-09"	"Rain"	"4900"	5300	"4457"	""	"316984"	0	"61651"	"3356"	""	NA	NA	"3356"	3356	"4457"	4457	"MF"	"Meno Falls"	"24-Jul-09"	"MF 005"	"MF 005"	""	"7/22/2009 8:44"	"7/23/2009 6:12"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	"2009-07-22 08:44:00"	"2009-07-23 06:12:00"	8.34961240310077	9.3	7.6	8.1	14.2273556666667	31.37116	8.46195	10.21024	799.348837209302	875	321	819.5	11.272480620155	72	7.3	10	19.4538759689923	20.2	18.5	19.5	"2009-07-22"	3.79
"MF 006"	"Milw Corridor Study USGS"	"33439 - 33440"	"Meno Falls"	FALSE	"MF 006"	"8/11/2009 9:08"	"8/12/2009 8:35"	"11-Aug-09"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"8/11/2009"	7	"0009-08-11"	0	NA	NA	NA	NA	NA	"Aug"	NA	NA	0	0	0	"MF"	"8/11/2009"	"8/12/2009 8:35"	7771	"USGSMF006"	"MF"	"14-Aug-09"	"Baseflow"	"310"	260	"BLD"	"BLD"	"21024"	NA	"3965"	"BLD"	"68"	NA	NA	"68"	68	"BLD"	60	"MF"	"Meno Falls"	"14-Aug-09"	"MF 006"	"MF 006"	""	"8/11/2009 9:08"	"8/12/2009 8:35"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	"2009-08-11 09:08:00"	"2009-08-12 08:35:00"	7.67682926829268	9.1	7.1	7.5	4.92406494444444	5.856554	4.300424	4.685554	1054.0243902439	1070	1020	1060	2.46910569105691	6.6	1.4	2.4	22.8463414634146	24.6	21.4	22.9	"2009-08-11"	2.47
"MF 008"	"Milw Corridor Study USGS"	"33466 - 33467"	"Meno Falls"	FALSE	"MF 008"	"9/15/2009 8:28"	"9/15/2009 13:54"	"15-Sep-09"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"9/15/2009"	8	"0009-09-15"	0	NA	NA	NA	NA	NA	"Sep"	NA	NA	0	0	0	"MF"	"9/15/2009"	"9/15/2009 13:54"	8306	"USGSMF008"	"MF"	"17-Sep-09"	"Baseflow"	"140"	120	"BLD"	"BLD"	"23737"	NA	"2039"	"BLD"	"94"	NA	NA	"94"	94	"BLD"	60	"MF"	"Meno Falls"	"17-Sep-09"	"MF 008"	"MF 008"	""	"9/15/2009 8:28"	"9/15/2009 13:54"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	"2009-09-15 08:28:00"	"2009-09-15 13:54:00"	9.09384615384615	9.6	8.3	9.3	1.96678772727273	2.036631	1.834446	1.933298	1119.69230769231	1130	1110	1120	2.61076923076923	6.1	2.1	2.6	19.6046153846154	20.7	18.8	19.5	"2009-09-15"	2.16
"MF 009"	"Milw Corridor Study USGS"	"33468 - 33469"	"Meno Falls"	FALSE	"MF 009"	"9/22/2009 12:21"	"9/23/2009 7:48"	"22-Sep-09"	"Event"	"Rainfall "	0.11	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"9/22/2009"	8	"0009-09-22"	0.11	NA	NA	NA	NA	NA	"Sep"	NA	NA	1	0	0	"MF"	"9/22/2009"	"9/23/2009 7:48"	8453	"USGSMF009"	"MF"	"26-Sep-09"	"Rain"	"10700"	10300	"3588"	""	"459990"	0	"39923"	"5151"	""	NA	NA	"5151"	5151	"3588"	3588	"MF"	"Meno Falls"	"26-Sep-09"	"MF 009"	"MF 009"	""	"9/22/2009 12:21"	"9/23/2009 7:48"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	"2009-09-22 12:21:00"	"2009-09-23 07:48:00"	8.231330472103	8.8	7.8	8.2	27.76815775	119.9182	2.899956	20.0554	561.390557939914	914	194	561	24.4616379310345	140	1.9	20	18.7442060085837	19.6	17.9	18.7	"2009-09-22"	3.15
"MF 010"	"Milw Corridor Study USGS"	"33478 - 33479"	"Meno Falls"	FALSE	"MF 010"	"9/27/2009 18:44"	"9/28/2009 7:24"	"27-Sep-09"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"9/27/2009"	8	"0009-09-27"	0	NA	NA	NA	NA	NA	"Sep"	NA	NA	0	0	0	"MF"	"9/27/2009"	"9/28/2009 7:24"	8459	"USGSMF010"	"MF"	"26-Sep-09"	"Rain"	"5500"	4400	"9544"	""	"233194"	0	"56916"	"4874"	""	NA	NA	"4874"	4874	"9544"	9544	"MF"	"Meno Falls"	"26-Sep-09"	"MF 010"	"MF 010"	""	"9/27/2009 18:44"	"9/28/2009 7:24"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	"2009-09-27 18:44:00"	"2009-09-28 07:24:00"	8.57697368421053	8.9	7.8	8.6	26.0744102666667	78.08479	3.691365	21.06148	625.46052631579	1050	301	610	22.7605263157895	84	0.9	17	16.3703947368421	18.2	15.1	16.2	"2009-09-27"	4.99
"MF 011"	"Milw Corridor Study USGS"	"33488 - 33489"	"Meno Falls"	FALSE	"MF 011"	"10/1/2009 19:24"	"10/2/2009 9:48"	"1-Oct-09"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"10/1/2009"	9	"0009-10-01"	0	NA	NA	NA	NA	NA	"Oct"	NA	NA	0	0	0	"MF"	"10/1/2009"	"10/2/2009 9:48"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MF 011"	"did not receive"	"10/1/2009 19:24"	"10/2/2009 9:48"	NA	"Event"	"Rainfall "	"Rainfall "	NA	"2009-10-01 19:24:00"	"2009-10-02 09:48:00"	9.7	9.9	9.5	9.7	37.3244352325581	59.66999	4.449838	38.049	592.115606936416	1080	347	552	16.6083333333333	39	2	15.5	12.685549132948	13.2	12.3	12.7	"2009-10-01"	5.36
"MF 012"	"Milw Corridor Study USGS"	"33528 - 33529"	"Meno Falls"	FALSE	"MF 012"	"10/22/2009 6:04"	"10/24/2009 11:23"	"22-Oct-09"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"10/22/2009"	9	"0009-10-22"	0	NA	NA	NA	NA	NA	"Oct"	NA	NA	0	0	0	"MF"	"10/22/2009"	"10/24/2009 11:23"	8656	"USGSMF012"	"MF"	"25-Oct-09"	"Rain"	"510"	410	"BLD"	"383"	"165400"	NA	"14429"	"BLD"	"1875"	NA	NA	"1875"	1875	"383"	383	"MF"	"Meno Falls"	"25-Oct-09"	"MF 012"	"MF 012"	""	"10/22/2009 6:04"	"10/24/2009 11:23"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	"2009-10-22 06:04:00"	"2009-10-24 11:23:00"	10.15328125	10.9	9	10.3	55.8415640018349	96.36477	7.25	65.54323	783.1921875	1100	509	809	12.6455611390285	28	2.3	12	9.5159375	10.9	8.3	9.4	"2009-10-22"	5.38
