Study.Sample.ID	Study.Name	LIDE.Sample.ID	Site.Name	Sample.Combining.needed.	USGS_ID	SSdate	SEdate	Collection.Start.Date	Sample.Type	Event.Type	Adenovirus.C.D.F	Adenovirus.A	Adenovirus.B	Enterovirus	G1.Norovirus	G2.Norovirus	HAV	Rotavirus	Campylobacter	Salmonella	EHEC	Cryptosporidium	BVDV1	BVDV2	Rotavirus.a	Rotavirus.c	Bovine.Enterovirus	Coronavirus	Bovine.Adenovirus	Bovine.Polyomavirus	Mycobacterium.Avium	Mycobacterium.Avium.paratuber	pdate	nmonth	ddate	Human_virus	Bacteria	Protozoa	Bovine_virus	Human	All_pathogens	cmonth	Rotavirus.a_occur	Bovine.Polyomavirus_occur	Adenovirus.C.D.F_occur	Adenovirus.A_occur	Enterovirus_occur	Abb2	Ddate	SEpdate	FT.	Site.Code	Abb.	Sample.Date	Event	Enterococci.CFU.100ml	E..coli.CFU.100ml	BacHuman.CN.100ml	RERUN.BacHuman.CN.100ml	BacSp.CN.100ml	Ratio.Human.Sp	Entero.CN.100ml	Lachno.2.CN.100ml	RERUN.Lachno.2.CN.100ml	Ruminant.CN.100ml	Cow.CN.100ml	lachno	lachnocen	BacHuman	BacHumancen	Abb2.1	GLWI.Site.Name	Sample.Date.1	GLWI.Study.Sample.ID	USGS_ID.1	X	Sample.Start.date.2	Sample.End.date.2	X.1	USGS.Sample.Type.2	USGS.Event.Type	USGS.Event.Type.2	GLWI.Event	Ebpdate	Eepdate	DO_mean	DO_max	DO_min	DO_median	DO_sd	Q_mean	Q_max	Q_min	Q_median	Q_sd	SC_mean	SC_max	SC_min	SC_median	SC_sd	TURB_mean	TURB_max	TURB_min	TURB_median	TURB_sd	WTEMP_mean	WTEMP_max	WTEMP_min	WTEMP_median	WTEMP_sd	Ebddate	AntBase	WW.Adenovirus.C.D.F	WW.Adenovirus.A	WW.Adenovirus.B	WW.Enterovirus	WW.G1.Norovirus	WW.G2.Norovirus	WW.HAV	WW.Rotavirus	WW.Campylobacter	WW.Salmonella	WW.EHEC	WW.Cryptosporidium	WW.BVDV1	WW.BVDV2	WW.Rotavirus.a	WW.Rotavirus.c	WW.Bovine.Enterovirus	WW.Coronavirus	WW.Bovine.Adenovirus	WW.Bovine.Polyomavirus	WW.Mycobacterium.Avium	WW.Mycobacterium.Avium.paratuber	WWFIB.BacHuman..CN.100ml.	WWFIB.BacSp..CN.100ml.	WWFIB.Entero..CN.100ml.	WWFIB.Lachno.2..CN.100ml.
MF 001	Milw Corridor Study USGS	33293 - 33294	Meno Falls	FALSE	MF 001	4/6/2009 9:34	4/7/2009 11:00	6-Apr-09	Baseflow	Baseflow	15.86	21.84	0	39.61	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4/6/2009	3	0009-04-06	77.31	NA	NA	NA	NA	NA	Apr	NA	NA	1	1	1	MF	4/6/2009	4/7/2009 11:00	6508	USGSMF001	MF	10-Apr-09	Baseflow	32	12	678		67940	0	23622	2155		NA	NA	2155	2155	678	678	MF	Meno Falls	10-Apr-09	MF 001	MF 001		4/6/2009 9:34	4/7/2009 11:00	NA	Baseflow	Baseflow	Baseflow	Baseflow	4/6/2009 4:34	4/7/2009 6:00	13.15859649	15.4	11.6	12.5	1.464619643	40.83948033	44.78308	37.89247	40.88106	1.880410446	1005.775439	1020	997	1000	7.60597154	7.48877193	22	5.1	7.1	2.003134929	5.298596491	6.6	3.7	5.4	0.951757897	4/6/2009	37.8	58550.97	37668.345	0	0	4012.235	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22334219	506965336	34848596	20869913
MF 002	Milw Corridor Study USGS	33306 - 33307	Meno Falls	FALSE	MF 002	4/20/2009 10:28	4/21/2009 18:19	20-Apr-09	Event	Rainfall 	0.38	3.47	0	0.76	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4/20/2009	3	0009-04-20	4.61	NA	NA	NA	NA	NA	Apr	NA	NA	1	1	1	MF	4/20/2009	4/21/2009 18:19	6519	USGSMF002	MF	24-Apr-09	Rain	40	120	1449		105839	0	4281	1300		NA	NA	1300	1300	1449	1449	MF	Meno Falls	24-Apr-09	MF 002	MF 002		4/20/2009 10:28	4/21/2009 18:19	NA	Event	Rainfall 	Rainfall 	Rain	4/20/2009 5:28	4/21/2009 13:19	11.71524064	12.7	11	11.6	0.525905649	85.04601351	88.76763	82.45641	83.97243	2.029313911	1090.40107	1120	1050	1100	19.20957086	6.435026738	13	3.7	7	1.56262578	7.764973262	9	6.5	7.5	0.830599689	4/20/2009	19.62	58550.97	37668.345	0	0	4012.235	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22334219	506965336	34848596	20869913
MF 003	Milw Corridor Study USGS	33393 - 33394	Meno Falls	FALSE	MF 003	6/15/2009 20:38	6/16/2009 13:42	15-Jun-09	Baseflow	Baseflow	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6/15/2009	5	0009-06-15	0	NA	NA	NA	NA	NA	Jun	NA	NA	0	0	0	MF	6/15/2009	6/16/2009 13:42	7005	USGSMF003	MF	15-Jun-09	Baseflow	290	170	BLD	143	179241	NA	4503	BLD	259	NA	NA	259	259	143	143	MF	Meno Falls	15-Jun-09	MF 003	MF 003		6/15/2009 20:38	6/16/2009 13:42	NA	Baseflow	Baseflow	Baseflow	Baseflow	6/15/2009 15:38	6/16/2009 8:42	9.708292683	10.8	9	9.4	0.631896858	12.27348368	12.90472	11.37233	12.365635	0.466258329	987.6536585	1000	979	988	3.272291393	10.97941176	25	9.2	11	1.46313236	19.31658537	20.6	18.6	19.3	0.526194299	6/15/2009	11.85	36980.91345	52157.3075	0	9405.962182	11390.14465	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22171668.89	798508994	65487247.41	43668881.39
MF 005	Milw Corridor Study USGS	33417 - 33418	Meno Falls	FALSE	MF 005	7/22/2009 8:44	7/23/2009 6:12	22-Jul-09	Event	Rainfall 	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7/22/2009	6	0009-07-22	0	NA	NA	NA	NA	NA	Jul	NA	NA	0	0	0	MF	7/22/2009	7/23/2009 6:12	7413	USGSMF005	MF	24-Jul-09	Rain	4900	5300	4457		316984	0	61651	3356		NA	NA	3356	3356	4457	4457	MF	Meno Falls	24-Jul-09	MF 005	MF 005		7/22/2009 8:44	7/23/2009 6:12	NA	Event	Rainfall 	Rainfall 	Rain	7/22/2009 3:44	7/23/2009 1:12	8.334496124	9.3	7.6	8.1	0.531509064	12.07389335	25.48749	8.46195	9.838399	4.664887826	813.9186047	901	739	827.5	39.06620594	10.03992248	20	7.1	9.95	1.777155948	19.43449612	20.2	18.4	19.5	0.493865025	7/22/2009	3.79	69784.67961	81613.32181	0	9497.569443	1860.189203	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27395133.2	787786006.3	43103055.9	38417028.32
MF 006	Milw Corridor Study USGS	33439 - 33440	Meno Falls	FALSE	MF 006	8/11/2009 9:08	8/12/2009 8:35	11-Aug-09	Baseflow	Baseflow	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8/11/2009	7	0009-08-11	0	NA	NA	NA	NA	NA	Aug	NA	NA	0	0	0	MF	8/11/2009	8/12/2009 8:35	7771	USGSMF006	MF	14-Aug-09	Baseflow	310	260	BLD	BLD	21024	NA	3965	BLD	68	NA	NA	68	68	BLD	60	MF	Meno Falls	14-Aug-09	MF 006	MF 006		8/11/2009 9:08	8/12/2009 8:35	NA	Baseflow	Baseflow	Baseflow	Baseflow	8/11/2009 4:08	8/12/2009 3:35	7.648373984	9.1	7.1	7.5	0.467098511	4.8695315	5.856554	4.300424	4.6619115	0.4213775	1056.138211	1070	1030	1060	9.396330333	2.484081633	6.6	1.4	2.5	0.510014137	22.79349593	24.6	21.4	22.7	1.003808246	8/11/2009	2.47	19907.92953	111.7765032	0	300.10725	6072.141975	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17965718.61	625180511.5	35070781.91	31224834.57
MF 008	Milw Corridor Study USGS	33466 - 33467	Meno Falls	FALSE	MF 008	9/15/2009 8:28	9/15/2009 13:54	15-Sep-09	Baseflow	Baseflow	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9/15/2009	8	0009-09-15	0	NA	NA	NA	NA	NA	Sep	NA	NA	0	0	0	MF	9/15/2009	9/15/2009 13:54	8306	USGSMF008	MF	17-Sep-09	Baseflow	140	120	BLD	BLD	23737	NA	2039	BLD	94	NA	NA	94	94	BLD	60	MF	Meno Falls	17-Sep-09	MF 008	MF 008		9/15/2009 8:28	9/15/2009 13:54	NA	Baseflow	Baseflow	Baseflow	Baseflow	9/15/2009 3:28	9/15/2009 8:54	9.281538462	9.6	8.6	9.4	0.321564684	1.971077318	2.036631	1.834446	1.933298	0.059550301	1117.692308	1120	1110	1120	4.246038878	2.487692308	3.3	2.1	2.4	0.25464908	19.97846154	21	18.9	20	0.684309028	9/15/2009	2.16	51389.89519	1969.953796	0	2029.253497	10149.49334	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19123252.59	787476853.8	41600888.62	40270003.17
MF 009	Milw Corridor Study USGS	33468 - 33469	Meno Falls	FALSE	MF 009	9/22/2009 12:21	9/23/2009 7:48	22-Sep-09	Event	Rainfall 	0.11	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9/22/2009	8	0009-09-22	0.11	NA	NA	NA	NA	NA	Sep	NA	NA	1	0	0	MF	9/22/2009	9/23/2009 7:48	8453	USGSMF009	MF	26-Sep-09	Rain	10700	10300	3588		459990	0	39923	5151		NA	NA	5151	5151	3588	3588	MF	Meno Falls	26-Sep-09	MF 009	MF 009		9/22/2009 12:21	9/23/2009 7:48	NA	Event	Rainfall 	Rainfall 	Rain	9/22/2009 7:21	9/23/2009 2:48	8.214592275	8.7	7.8	8.2	0.203740731	28.62157804	119.9182	9.477935	20.55362	21.82570534	559.5364807	775	194	563	114.2124069	23.92543103	140	7.7	20	20.57760098	18.74120172	19.6	18.2	18.7	0.351256755	9/22/2009	3.15	35936.87885	4243.8731	0	1506.505636	8040.298126	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19455725.09	760688501.7	39758474.11	37619719.86
MF 010	Milw Corridor Study USGS	33478 - 33479	Meno Falls	FALSE	MF 010	9/27/2009 18:44	9/28/2009 7:24	27-Sep-09	Event	Rainfall 	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9/27/2009	8	0009-09-27	0	NA	NA	NA	NA	NA	Sep	NA	NA	0	0	0	MF	9/27/2009	9/28/2009 7:24	8459	USGSMF010	MF	26-Sep-09	Rain	5500	4400	9544		233194	0	56916	4874		NA	NA	4874	4874	9544	9544	MF	Meno Falls	26-Sep-09	MF 010	MF 010		9/27/2009 18:44	9/28/2009 7:24	NA	Event	Rainfall 	Rainfall 	Rain	9/27/2009 13:44	9/28/2009 2:24	8.636842105	8.9	8.3	8.6	0.164652639	25.52600908	78.08479	16.82662	20.0554	10.68954408	605.1578947	819	301	608	81.0898533	21.06118421	84	9	17	14.47407845	16.13026316	18	14.9	16	0.936177905	9/27/2009	4.99	24574.49905	5915.853133	0	1122.136682	6489.437334	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19700187.31	740991413.2	38403773.33	35671004.81
MF 011	Milw Corridor Study USGS	33488 - 33489	Meno Falls	FALSE	MF 011	10/1/2009 19:24	10/2/2009 9:48	1-Oct-09	Event	Rainfall 	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10/1/2009	9	0009-10-01	0	NA	NA	NA	NA	NA	Oct	NA	NA	0	0	0	MF	10/1/2009	10/2/2009 9:48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MF 011	did not receive	10/1/2009 19:24	10/2/2009 9:48	NA	Event	Rainfall 	Rainfall 	NA	10/1/2009 14:24	10/2/2009 4:48	9.72716763	9.9	9.6	9.7	0.105717706	38.75669913	59.66999	23.75001	38.049	6.481837856	568.3410405	853	347	552	121.9745703	16.93452381	39	10	15	6.259976355	12.69653179	13.2	12.3	12.7	0.179759514	10/1/2009	5.36	15883.76941	7194.69847	0	828.1448661	5303.232324	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19887168.84	725925725.1	37367604.98	34180493.49
MF 012	Milw Corridor Study USGS	33528 - 33529	Meno Falls	FALSE	MF 012	10/22/2009 6:04	10/24/2009 11:23	22-Oct-09	Event	Rainfall 	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10/22/2009	9	0009-10-22	0	NA	NA	NA	NA	NA	Oct	NA	NA	0	0	0	MF	10/22/2009	10/24/2009 11:23	8656	USGSMF012	MF	25-Oct-09	Rain	510	410	BLD	383	165400	NA	14429	BLD	1875	NA	NA	1875	1875	383	383	MF	Meno Falls	25-Oct-09	MF 012	MF 012		10/22/2009 6:04	10/24/2009 11:23	NA	Event	Rainfall 	Rainfall 	Rain	10/22/2009 1:04	10/24/2009 6:23	10.18796875	11	9	10.3	0.387515176	56.54898821	96.36477	8.46195	65.54323	23.27051266	780.1515625	1020	509	809	142.0768285	12.72629816	28	3.9	12	5.408056555	9.46984375	10.8	8.3	9.4	0.70287581	10/22/2009	5.38	2356.456553	7300.903762	0	162.2024963	1683.269122	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20255582.93	725290392.7	38266322.31	32306433.24
